ANT1,60.22,38.05,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,52.15,27.41,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,30.33,39.83,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,51.61,24.69,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,51.56,25.73,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,49.43,27.64,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,47.73,27.18,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,41.88,26.21,90.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,45.44,26.92,0.00,1.0µF,NORDIC_NRF_3_RESC0201_L
C16,45.44,27.99,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,38.28,25.37,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,38.28,22.86,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,37.41,21.06,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,52.12,30.81,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,30.76,35.28,270.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,42.70,18.67,270.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,45.69,17.40,0.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,55.50,30.02,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,51.44,16.74,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,51.54,15.67,0.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,51.54,13.59,0.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27,59.64,15.85,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,57.15,10.46,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,55.22,27.46,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,35.53,10.49,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
